id, folder, :math:`N_{r}`, :math:`N_{\theta}`, :math:`Np_{column}`, :math:`Np_{row}`, :math:`r_i / r_o`, :math:`r_o - r_i`, Chebyshev grid, rotation, magnetism, viscous heating, Ohmic heating, :math:`E`, :math:`Pr`, :math:`Pm`, :math:`Ra`, :math:`Ram`, Non slip boundary, Fixed :math:`T` at :math:`r_i`, :math:`T(r_i)`, Fixed :math:`\frac{dT}{dr}` at :math:`r_i`, :math:`\frac{dT}{dr}|_{r=r_i}`, Fixed :math:`T` at :math:`r_o`, :math:`T(r_o)`, Fixed :math:`\frac{dT}{dr}` at :math:`r_o`, :math:`\frac{dT}{dr}|_{r=r_o}`, Reference type, Heating type, :math:`n_{p}`, :math:`n_{\rho}`, :math:`n_{g}`, Hyper-diffusion, :math:`\alpha`, :math:`\beta`, 
  12,      192,      768,       64,       64,      2.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .TRUE., .FALSE., .FALSE.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .FALSE., .TRUE.,     -1.000000015047E+30, .FALSE.,     -1.000000015047E+30, .TRUE.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .FALSE.,      1.000000000000E+00,      1.000000000000E+00, 
  13,      192,      768,       64,       64,      2.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .TRUE., .FALSE., .FALSE.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .FALSE., .TRUE.,     -1.000000015047E+30, .FALSE.,     -1.000000015047E+30, .TRUE.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .FALSE.,      1.000000000000E+00,      1.000000000000E+00, 
  14,      192,      768,       64,       64,      2.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .TRUE., .FALSE., .FALSE.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .FALSE., .TRUE.,     -1.000000015047E+30, .FALSE.,     -1.000000015047E+30, .TRUE.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .FALSE.,      1.000000000000E+00,      1.000000000000E+00, 
  15,      192,      768,       64,       64,      2.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .TRUE., .FALSE., .FALSE.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .FALSE., .TRUE.,     -1.000000015047E+30, .FALSE.,     -1.000000015047E+30, .TRUE.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .FALSE.,      1.000000000000E+00,      1.000000000000E+00, 
  16,      128,      256,       21,       50,     -1.000000000000E+00,     -1.000000000000E+00, .FALSE., .DEFAULT., .FALSE., .TRUE., .TRUE.,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .FALSE., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,       -1,        0,     -1.000000015047E+30,     -1.000000015047E+30,     -1.000000015047E+30, .FALSE.,      0.000000000000E+00,      0.000000000000E+00, 
  17,      128,      256,       21,       50,     -1.000000000000E+00,     -1.000000000000E+00, .FALSE., .DEFAULT., .FALSE., .TRUE., .TRUE.,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .FALSE., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,       -1,        0,     -1.000000015047E+30,     -1.000000015047E+30,     -1.000000015047E+30, .FALSE.,      0.000000000000E+00,      0.000000000000E+00, 
  18,       96,      384,       48,       96,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      1.000000000000E-03,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E-01, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      0.000000000000E+00,        4,        4,      2.000000000000E+00,      3.000000000000E+00,     -1.000000015047E+30, .FALSE.,      1.000000000000E+01,      3.000000000000E+00, 
  19,       96,      384,       48,       96,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      1.000000000000E-03,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E-01, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      0.000000000000E+00,        4,        4,      2.000000000000E+00,      3.000000000000E+00,     -1.000000015047E+30, .FALSE.,      1.000000000000E+01,      3.000000000000E+00, 
  20,      128,      512,       64,      128,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      8.000000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      3.500000000000E+01,        4,        4,      2.000000000000E+00,      3.000000000000E+00,     -1.000000015047E+30, .TRUE.,      1.000000000000E+01,      3.000000000000E+00, 
  21,      256,     1024,      128,      256,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      8.000000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      3.500000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      1.000000000000E+01,      3.000000000000E+00, 
