Run name , :math:`N_{r}`, :math:`N_{\theta}`, :math:`r_o / r_i`, :math:`E = \frac{\nu}{\Omega L^2}`, :math:`Pr`, :math:`Ram`, :math:`\frac{dT}{dr}|_{r=r_i}`, :math:`\frac{dT}{dr}|_{r=r_o}`, Reference type, Heating type, :math:`n_{\p}`, :math:`n_{\rho}`, :math:`n_{g}`, Hyper-diffusion, :math:`\alpha`, :math:`\beta`, Publication, 
:ref:`J90-pn2-ht4-E3n6-M4`,      512,     1536,   9.00E-01,   3.00E-06,   1.00E+00,   4.80E-02,  -1.00E+00,   1.00E+03,        3,        4,   2.00E+00,   6.00E+00,  -1.00E+30, .true.,   1.20E+02,   3.00E+00, 
:ref:`J90-pn2-ht4-E3n6-M5`,      512,     1536,   9.00E-01,   3.00E-06,   1.00E+00,   4.80E-02,  -1.00E+00,   1.00E+03,        3,        4,   2.00E+00,   6.00E+00,  -1.00E+30, .true.,   1.20E+02,   3.00E+00, 
:ref:`J90-pn2-ht4-E3n6-M6`,      512,     1536,   9.00E-01,   3.00E-06,   1.00E+00,   4.80E-02,  -1.00E+00,   1.00E+03,        3,        4,   2.00E+00,   6.00E+00,  -1.00E+30, .true.,   1.20E+02,   3.00E+00, 
:ref:`J90-pn2-ht1-E1n4-1`,      256,      576,   9.00E-01,   1.00E-04,   1.00E+00,   2.00E-01,  -1.00E+00,   2.90E+01,        3,        1,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.00E+01,   3.00E+00, 
:ref:`J90-pn2-ht1-E1n4-2`,      256,      576,   9.00E-01,   1.00E-04,   1.00E+00,   2.00E-01,  -1.00E+00,   2.90E+01,        3,        1,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.00E+01,   3.00E+00, 
:ref:`J90-pn2-ht4-E1n4-3`,      256,      576,   9.00E-01,   1.00E-04,   1.00E+00,   2.00E-01,  -1.00E+00,   2.50E+02,        3,        4,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.00E+01,   3.00E+00, 
:ref:`J90-pn2-ht4-E1n5-1`,      384,      768,   9.00E-01,   1.00E-05,   1.00E+00,   2.20E-01,  -1.00E+00,   2.50E+02,        3,        4,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J90-pn2-ht4-E1n5-2`,      384,      768,   9.00E-01,   1.00E-05,   1.00E+00,   1.20E-01,  -1.00E+00,   2.50E+02,        3,        4,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   6.00E+01,   3.00E+00, 
:ref:`J90-pn2-ht4-E3n5-1`,      256,      768,   9.00E-01,   3.00E-05,   1.00E+00,   2.00E-01,  -1.00E+00,   2.50E+02,        3,        4,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   3.00E+01,   3.00E+00, 
:ref:`J90-pn2-ht4-E3n5-2`,      384,      768,   9.00E-01,   3.00E-05,   1.00E+00,   5.00E-01,  -1.00E+00,   2.50E+02,        3,        4,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   3.00E+01,   3.00E+00, 
:ref:`J90-pn2-ht4-E3n5-3`,      384,      768,   9.00E-01,   3.00E-05,   1.00E+00,   1.50E-01,  -1.00E+00,   2.50E+02,        3,        4,   2.00E+00,   5.00E+00,  -1.00E+30, .true.,   3.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n4-1`,      384,      768,   9.50E-01,   1.00E-04,   1.00E+00,   5.00E-01,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   6.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n4-2`,      384,      768,   9.50E-01,   1.00E-04,   1.00E+00,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   6.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-1a`,      384,     1152,   9.50E-01,   2.00E-05,   1.00E+00,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-1b`,      384,     1152,   9.50E-01,   1.38E-05,   1.00E+00,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-1c`,      384,     1152,   9.50E-01,   1.00E-05,   1.00E+00,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-2`,      384,     1152,   9.50E-01,   1.00E-05,   3.00E-01,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-3`,      384,     1152,   9.50E-01,   1.00E-05,   1.00E-01,   7.50E-01,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-4`,      384,     1152,   9.50E-01,   1.00E-05,   1.00E-01,   5.00E-01,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-5`,      384,     1152,   9.50E-01,   1.00E-05,   3.00E-01,   7.50E-01,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-6`,      384,     1152,   9.50E-01,   1.00E-05,   3.00E-01,   7.50E-01,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-7`,      384,     1152,   9.50E-01,   1.00E-05,   3.00E-01,   7.50E-01,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   9.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E3n5-1a`,      384,      768,   9.50E-01,   6.00E-05,   1.00E+00,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   6.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E3n5-1b`,      384,      768,   9.50E-01,   4.00E-05,   1.00E+00,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   6.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E3n5-1c`,      384,      768,   9.50E-01,   3.00E-05,   1.00E+00,   1.00E+00,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   6.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E3n6-1a`,      512,     1152,   9.50E-01,   6.00E-06,   3.00E-01,   5.00E-01,  -1.00E+00,   2.50E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.05E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-1`,      256,     1152,   9.50E-01,   1.00E-05,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   6.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-2`,      384,     1536,   9.50E-01,   1.00E-05,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   4.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-3`,      384,     1536,   9.50E-01,   1.00E-05,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   4.00E+01,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n5-4`,      512,     1152,   9.50E-01,   1.00E-05,   1.00E+00,   2.00E+00,  -1.00E+00,   5.00E+02,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.20E+02,   3.00E+00, 
