id, stack, folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
      24,     2417,  mheimpel/JupNatGeo/E3n5/run1,      256,     1024,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-05,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      7.000000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      5.500000000000E+01, .true.,      1.500000000000E+01,      3.000000000000E+00, 
      25,     2512,  mheimpel/JupNatGeo/E3n6/run1,      256,     1024,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      1.100000000000E+02,      3.000000000000E+00, 
      26,     2607,  mheimpel/JupNatGeo/E3n6/run2,      256,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      27,     2702,  mheimpel/JupNatGeo/E3n6/run3,      256,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      28,     2797,  mheimpel/JupNatGeo/E3n6/run4,      384,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      9.000000000000E+01,      3.000000000000E+00, 
      29,     2892,  mheimpel/JupNatGeo/E3n6/run4a,      384,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      9.000000000000E+01,      3.000000000000E+00, 
      30,     2987,  mheimpel/JupNatGeo/E3n6/run4b,      384,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      9.000000000000E+01,      3.000000000000E+00, 
      31,     3082,  mheimpel/JupNatGeo/E3n6/run5,      384,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      9.000000000000E+01,      3.000000000000E+00, 
      32,     3178,  mheimpel/JupNatGeo/E3n6/run6,      256,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      8.581000000000E+01, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      33,     3275,  mheimpel/Uranus75/E1n3/run1,      384,      576,      7.500000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-03,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E+01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      2.500000000000E+02, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      34,     3372,  mheimpel/Uranus75/E1n4/run1,      384,      576,      7.500000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.500000000000E+01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.250000000000E+02, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      35,     3469,  mheimpel/Uranus75/E3n4/run1,      384,      576,      7.500000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E+01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      2.500000000000E+02, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      36,     3566,  mheimpel/Uranus75/E3n4/run2,      384,      576,      7.500000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E+01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.250000000000E+02, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      37,     3663,  mheimpel/Uranus75/E3n4/run3,      384,      576,      7.500000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-04,      3.000000000000E-01,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E+01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.250000000000E+02, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      38,     3760,  mheimpel/Uranus75/E3n4/run4,      384,      576,      7.500000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.500000000000E+01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.250000000000E+02, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      39,     3853,  mheimpel/testruns/benchmark_case/run0,      128,      192,     -1.000000000000E+00,     -1.000000000000E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
      40,     3946,  mheimpel/testruns/benchmark_case/run1,      128,      192,     -1.000000000000E+00,     -1.000000000000E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
      41,     4039,  mheimpel/testruns/benchmark_case/run2,      256,      384,     -1.000000000000E+00,     -1.000000000000E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
      42,     4132,  mheimpel/testruns/benchmark_case/run3,      512,      768,     -1.000000000000E+00,     -1.000000000000E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
      43,     4230,  mheimpel/Jup90/fsb/E3n6/run1,      384,     1152,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.000000000000E-02, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      2.500000000000E+02, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      44,     4328,  mheimpel/Jup90/fsb/E3n6/run2,      384,     1152,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.000000000000E-02, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      2.500000000000E+02, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      45,     4425,  mheimpel/Jup90/fsb/E3n6/run3,      512,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.000000000000E+03, .true.,      9.000000000000E+01,      3.000000000000E+00, 
      46,     4522,  mheimpel/Jup90/fsb/E3n6/runM1,      512,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.000000000000E+03, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      47,     4619,  mheimpel/Jup90/fsb/E3n6/runM2,      512,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.000000000000E+03, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      48,     4716,  mheimpel/Jup90/fsb/E3n6/runM3,      512,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.000000000000E+03, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      49,     4816,  mheimpel/Jup90/fsb/E3n6/runM4,      512,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.000000000000E+03, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      50,     4916,  mheimpel/Jup90/fsb/E3n6/runM5,      512,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.000000000000E+03, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      51,     5016,  mheimpel/Jup90/fsb/E3n6/runM6,      512,     1536,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      1.000000000000E+03, .true.,      1.200000000000E+02,      3.000000000000E+00, 
      52,     5114,  mheimpel/Jup90/nsb/E1n4/run1,      256,      576,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      2.000000000000E-01, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      2.900000000000E+01, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      53,     5212,  mheimpel/Jup90/nsb/E1n4/run2,      256,      576,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      2.000000000000E-01, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      2.900000000000E+01, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      54,     5310,  mheimpel/Jup90/nsb/E1n4/run3,      256,      576,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      2.000000000000E-01, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      2.500000000000E+02, .true.,      1.000000000000E+01,      3.000000000000E+00, 
