id, stack, folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
       1,      110,  ksoderlu/GridTest,      256,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       2,      226,  ksoderlu/IG_Dynamo_chi020_tanh_w0.11_c0.00,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       3,      342,  ksoderlu/IG_Dynamo_chi020_tanh_w0.11_c0.25,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       4,      458,  ksoderlu/IG_Dynamo_chi020_tanh_w0.20_c0.00,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       5,      574,  ksoderlu/IG_Dynamo_chi020_tanh_w0.20_c0.25,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       6,      690,  ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.00,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       7,      806,  ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.25,      384,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       8,      922,  ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.25_nr192,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
       9,     1026,  ksoderlu/IG_ThickDynamo_ConstCond_chi020,      128,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
      10,     1142,  ksoderlu/IG_ThickDynamo_ConstCond_chi020_nr192,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
      11,     1187,  ksoderlu/Rayleigh-devel_20180415-BENCHMARK,       48,       64,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .DEFAULT., .DEFAULT., .DEFAULT., .DEFAULT.,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
      12,     1302,  ksoderlu/EnsembleTEST/run1,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
      13,     1417,  ksoderlu/EnsembleTEST/run2,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
      14,     1532,  ksoderlu/EnsembleTEST/run1,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
      15,     1647,  ksoderlu/EnsembleTEST/run2,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .false.,      1.000000000000E+00,      1.000000000000E+00, 
      16,     1699,  mheimpel/rayleigh_back2,      128,      256,     -1.000000000000E+00,     -1.000000000000E+00, .false., .DEFAULT., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
      17,     1751,  mheimpel/rayleigh_back_Apr_2017,      128,      256,     -1.000000000000E+00,     -1.000000000000E+00, .false., .DEFAULT., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
      18,     1847,  mheimpel/JupNatGeo/E1n3/run1,       96,      384,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-03,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E-01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      0.000000000000E+00, .false.,      1.000000000000E+01,      3.000000000000E+00, 
      19,     1942,  mheimpel/JupNatGeo/E1n3/run2,       96,      384,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-03,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E-01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      0.000000000000E+00, .false.,      1.000000000000E+01,      3.000000000000E+00, 
      20,     2037,  mheimpel/JupNatGeo/E1n4/run1,      128,      512,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      8.000000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      3.500000000000E+01, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      21,     2132,  mheimpel/JupNatGeo/E1n4/run2,      256,     1024,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      8.000000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      3.500000000000E+01, .true.,      1.000000000000E+01,      3.000000000000E+00, 
      22,     2227,  mheimpel/JupNatGeo/E1n4/run3,      256,     1024,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      8.000000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      3.500000000000E+01, .true.,      3.000000000000E+00,      3.000000000000E+00, 
      23,     2322,  mheimpel/JupNatGeo/E1n5/run1,      256,     1024,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,      1.000000000000E-05,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      6.000000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      7.000000000000E+01, .true.,      4.500000000000E+01,      3.000000000000E+00, 
